video_name,character,view,compression,qp,clarity,interaction,depth,overall,mos,mos_ref,dmos_100,vmaf,ssim,psnr
redandblack_left_GC_qp35.mp4,redandblack,left,GC,35,2,1,3,1,1.75,3.25,37.5,87.239641,0.991833,46.107046
redandblack_back_GC_qp25.mp4,redandblack,back,GC,25,5,5,5,5,5,5,0,95.352122,0.993327,50.001288
redandblack_front_GC_qp15.mp4,redandblack,front,GC,15,5,5,5,5,5,5,0,98.052402,0.995609,57.403855
redandblack_right_TC_qp45.mp4,redandblack,right,TC,45,2,2,2,2,2,3.5,37.5,81.811158,0.993598,45.837234
redandblack_left_TC_qp35.mp4,redandblack,left,TC,35,4,2,2,2,2.5,3.25,18.75,86.390792,0.99468,48.002512
redandblack_back_TC_qp25.mp4,redandblack,back,TC,25,3,2,4,2,2.75,5,56.25,94.574834,0.996688,51.060746
redandblack_front_TC_qp15.mp4,redandblack,front,TC,15,4,4,4,4,4,5,25,97.936836,0.999164,58.078639
redandblack_right_GC_qp45.mp4,redandblack,right,GC,45,1,3,2,3,2.25,3.5,31.25,81.176409,0.9905,43.411442
redandblack_left_GC_qp35.mp4,redandblack,left,GC,35,2,4,3,3,3,3.25,6.25,87.239641,0.991833,46.107046
redandblack_back_GC_qp25.mp4,redandblack,back,GC,25,2,3,2,3,2.5,5,62.5,95.352122,0.993327,50.001288
redandblack_front_GC_qp15.mp4,redandblack,front,GC,15,2,3,2,2,2.25,5,68.75,98.052402,0.995609,57.403855
redandblack_right_GTC_qp45.mp4,redandblack,right,GTC,45,1,1,1,1,1,3.5,62.5,81.176409,0.991681,43.411442
redandblack_left_GTC_qp35.mp4,redandblack,left,GTC,35,1,2,2,1,1.5,3.25,43.75,87.239641,0.993523,46.107046
redandblack_back_GTC_qp25.mp4,redandblack,back,GTC,25,2,2,3,3,2.5,5,62.5,95.352122,0.996154,50.001288
redandblack_front_GTC_qp15.mp4,redandblack,front,GTC,15,2,2,3,3,2.5,5,62.5,98.052402,0.999067,57.403855
redandblack_right_GTC_qp45.mp4,redandblack,right,GTC,45,1,1,1,1,1,3.5,62.5,81.176409,0.991681,43.411442
redandblack_left_GTC_qp35.mp4,redandblack,left,GTC,35,2,3,3,3,2.75,3.25,12.5,87.239641,0.993523,46.107046
redandblack_back_GTC_qp25.mp4,redandblack,back,GTC,25,5,5,5,5,5,5,0,95.352122,0.996154,50.001288
redandblack_front_GTC_qp15.mp4,redandblack,front,GTC,15,5,5,5,5,5,5,0,98.052402,0.999067,57.403855
redandblack_right_GTC_qp45.mp4,redandblack,right,GTC,45,2,2,3,3,2.5,3.5,25,81.176409,0.991681,43.411442
redandblack_left_GTC_qp35.mp4,redandblack,left,GTC,35,2,2,3,4,2.75,3.25,12.5,87.239641,0.993523,46.107046
